datetime,open,high,low,close,volume,dividends,stock splits,ema_4,ema_8,ema_20,williams_r,trend_angle,macd_line,macd_signal
2026-02-06T09:30:00.000000000-0500,277.1600036621094,279.92999267578125,277.0,279.80999755859375,3631068,0.0,0.0,279.80999755859375,279.80999755859375,279.80999755859375,,,0.0,0.0
2026-02-06T09:45:00.000000000-0500,279.239990234375,280.739990234375,278.9599914550781,280.5249938964844,3220285,0.0,0.0,280.09599609375,279.96888563368054,279.8780924479167,,,0.17599909855766782,0.08799954927883391
2026-02-06T10:00:00.000000000-0500,280.5400085449219,280.9049987792969,279.0400085449219,279.1400146484375,1937064,0.0,0.0,279.713603515625,279.78469208140433,279.80779932415675,,,-0.08639619545118649,0.0008016769138237123
2026-02-06T10:15:00.000000000-0500,279.1400146484375,279.8999938964844,278.510009765625,279.2900085449219,1513359,0.0,0.0,279.54416552734375,279.67476240663046,279.7584859166106,,,-0.17737400432406503,-0.08828616370512066
2026-02-06T10:30:00.000000000-0500,279.29998779296875,279.95001220703125,279.1600036621094,279.5299987792969,918987,0.0,0.0,279.538498828125,279.6425927116674,279.73672523686645,,,-0.15357289548575181,-0.12092952959543624
2026-02-06T10:45:00.000000000-0500,278.8999938964844,279.0799865722656,278.7900085449219,278.81500244140625,1139308,0.0,0.0,279.2491002734375,279.4586837627205,279.6489421134893,,-0.1989990234375,-0.30803771444948325,-0.21448362202245974
2026-02-06T11:00:00.000000000-0500,278.80999755859375,279.44000244140625,278.53021240234375,278.9599914550781,890278,0.0,0.0,279.1334567460937,279.3478632499111,279.58332776506916,,-0.31300048828125004,-0.3318125444380371,-0.2731480832302484
2026-02-06T11:15:00.000000000-0500,279.2257080078125,279.6600036621094,278.989990234375,279.114990234375,964530,0.0,0.0,279.1260701414062,279.29611369090304,279.53872419071735,,-0.0050048828125,-0.2853100635629744,-0.2792290733966114
2026-02-06T11:30:00.000000000-0500,279.1000061035156,279.72369384765625,279.0,279.3399963378906,794552,0.0,0.0,279.21164061999997,279.30586539023363,279.5197977285434,,0.00999755859375,-0.18875745157254187,-0.23399326248457664
2026-02-06T11:45:00.000000000-0500,279.3699951171875,279.7749938964844,278.8699951171875,279.0849914550781,1030565,0.0,0.0,279.16098095403123,279.2567822935324,279.47838760726097,,-0.08900146484375,-0.1908930226960024,-0.2124431425902895
2026-02-06T12:00:00.000000000-0500,279.04998779296875,279.4700012207031,278.94000244140625,279.090087890625,569335,0.0,0.0,279.13262372866876,279.2197390928863,279.4414066818671,,0.055017089843750006,-0.17897546558123167,-0.1957093040857606
2026-02-06T12:15:00.000000000-0500,279.0899963378906,279.2367858886719,278.239990234375,278.67999267578125,645128,0.0,0.0,278.95157130751375,279.09979544464073,279.36889106223987,,-0.055999755859375,-0.2628576531256499,-0.22928347860570525
2026-02-06T12:30:00.000000000-0500,278.7099914550781,278.79998779296875,277.8999938964844,278.3299865722656,675536,0.0,0.0,278.7029374134145,278.92872680633513,279.2699477774804,,-0.157000732421875,-0.3754234874751319,-0.30235348304041854
2026-02-06T12:45:00.000000000-0500,278.3299865722656,278.4700012207031,278.114990234375,278.2950134277344,619141,0.0,0.0,278.5397678191424,278.78790161109055,279.1770968870284,,-0.20899658203125002,-0.41807808587714135,-0.36021578445877994
2026-02-06T13:00:00.000000000-0500,278.2950134277344,278.6861877441406,278.2539978027344,278.5899963378906,468211,0.0,0.0,278.5598592266417,278.74392266149056,279.1211825490153,,-0.0989990234375,-0.34139443728105334,-0.3508051108699166
2026-02-06T13:15:00.000000000-0500,278.32000732421875,278.5249938964844,277.4901123046875,277.7749938964844,855572,0.0,0.0,278.2459130945788,278.52860515815587,278.99297410591714,,-0.263018798828125,-0.4820698358919344,-0.4164374733809255
2026-02-06T13:30:00.000000000-0500,277.79998779296875,277.81500244140625,277.0400085449219,277.6235046386719,730603,0.0,0.0,277.996949712216,278.32747170938165,278.86254844237,,-0.211297607421875,-0.5611134810548606,-0.48877547721789305
2026-02-06T13:45:00.000000000-0500,277.614990234375,277.760009765625,276.92498779296875,277.4800109863281,706922,0.0,0.0,277.79017422186087,278.13914710425865,278.73087820846126,,-0.16999511718750002,-0.6020347857265165,-0.5454051314722048
2026-02-06T14:00:00.000000000-0500,277.489990234375,277.9599914550781,277.3399963378906,277.44000244140625,589395,0.0,0.0,277.650105509679,277.9837816236248,278.60793765921795,,-0.17100219726562502,-0.5956101800343276,-0.5705076557532662
2026-02-06T14:15:00.000000000-0500,277.44000244140625,277.92999267578125,277.1300048828125,277.1300048828125,521666,0.0,0.0,277.4420652589324,277.7940534589998,278.46718215670313,,-0.291998291015625,-0.632002614334624,-0.6012551350439451
